NO,KODE ACCURATE,NAMA BARANG,UPC/BARCODE,NAMA KATEGORI,NAMA BRAND,STATUS,STOK
142,100229,CASING COUGAR MX360 RGB - ATX - BLACK,4710483775192,CASING PC GAMING,COUGAR,TIDAK,3
143,100702,CASING COUGAR MX430 MESH RGB - MID TOWER,4710483772993,CASING PC GAMING,COUGAR,YA,0
144,100225,CASING COUGAR MX440 MESH RGB - MID TOWER,,CASING PC GAMING,COUGAR,TIDAK,0
145,100706,CASING COUGAR MX600 RGB – FULL TOWER,100706,CASING PC GAMING,COUGAR,YA,0
146,100227,CASING COUGAR PURITY RGB WHITE -MINI TOWER,4710483773372,CASING PC GAMING,COUGAR,YA,0
147,100718,CASING COUGAR QBX - ITX - BLACK,4715302445973,CASING PC GAMING,COUGAR,TIDAK,2
148,100226,CASING COUGAR UNIFACE MINI BLACK - MINI TOWER,4710483777615,CASING PC GAMING,COUGAR,YA,0
149,101229,CASING COUGAR UNIFACE MINI BLACK RGB 3 FAN - MINI TOWER,192554007670,CASING PC GAMING,COUGAR,YA,0
150,101230,NEW CASING COUGAR UNIFACE MINI RGB - mATX - WHITE,4710483777622,CASING PC GAMING,COUGAR,TIDAK,4
151,101483,CASING CUBE CINEMA BLACK CASE WITHOUT POWER SUPPLY,,CASING PC GAMING,,YA,0
152,101484,CASING CUBE CINEMA WHITE CASE WITHOUT POWER SUPPLY,,CASING PC GAMING,,YA,0
153,101485,CASING CUBE GAMING CIELO ATX WHITE CASE WITHOUT POWER SUPPLY,,CASING PC GAMING,,YA,0
154,101486,CASING CUBE GAMING KIEV BLACK CASE WITHOUT POWER SUPPLY,,CASING PC GAMING,,YA,0
155,101492,CASING DARKFLASH DQX90 BLACK,,CASING PC GAMING,DARK FLASH,YA,0
156,101491,CASING DARKFLASH DQX90 WHITE,,CASING PC GAMING,DARK FLASH,YA,0
157,101490,CASING DARKFLASH DY470 BLACK,,CASING PC GAMING,DARK FLASH,YA,0
158,101489,CASING DARKFLASH DY470 WHITE,,CASING PC GAMING,DARK FLASH,YA,0
159,101496,CASING DARKFLASH L280M BLACK,,CASING PC GAMING,DARK FLASH,YA,0
160,101495,CASING DARKFLASH L280M WHITE,,CASING PC GAMING,DARK FLASH,YA,0
161,101494,CASING DARKFLASH TH285M BLACK,,CASING PC GAMING,DARK FLASH,YA,0
162,101493,CASING DARKFLASH TH285M WHITE,,CASING PC GAMING,DARK FLASH,YA,0
163,101370,CASING DEEPCOOL CG580 BLACK,,CASING PC GAMING,DEEPCOOL,YA,0
164,101371,CASING DEEPCOOL CG580 WHITE,,CASING PC GAMING,DEEPCOOL,YA,0
165,100456,CASING DIGITAL ALLIANCE N30S - mATX - WHITE,100456,CASING PC GAMING,DIGITAL ALLIANCE,TIDAK,0
166,100455,CASING DIGITAL ALLIANCE PC N30S MATX BLACK,,CASING PC GAMING,DIGITAL ALLIANCE,YA,0
167,100987,CASING FAN DEEPCOOL XFAN 80,100987,FAN CASING,DEEPCOOL,YA,0
168,101289,CASING GAMEN GCS100 WITH 3 FANS BLACK,,CASING PC GAMING,GAMEN,YA,0
169,101290,CASING GAMEN GCS100 WITH 3 FANS WHITE,,CASING PC GAMING,GAMEN,YA,0
170,101476,CASING GAMING PRIME D-(K) V2.0 RED-ALUMUNIUM GAMING CASE-DUAL SIDE TEMPRED GLASS,,CASING PC GAMING,PRIME,YA,0
171,100652,CASING HARDDISK SAMSUNG F3,,ENCLOSURE SATA,SAMSUNG,TIDAK,0
172,101253,"CASING HDD CADDY SSD 12,7MM",,ENCLOSURE SATA,,TIDAK,1
173,100651,CASING HDD EXT WD USB 3.0,,ENCLOSURE SATA,WD (WESTERN DIGITAL),TIDAK,0
174,101396,NEW CASING HOSE OFF DUO INC PSU 380W,,CASING PC GAMING,HOSE,TIDAK,3
175,101479,CASING Lian Li DYNAMIC EVO RGB BLACK CASE WITHOUT POWER SUPPLY,,CASING PC GAMING,LIAN LI,YA,0
176,101478,CASING Lian Li DYNAMIC EVO RGB WHITE CASE WITHOUT POWER SUPPLY,,CASING PC GAMING,LIAN LI,YA,0
177,100104,CASING MSI MAG FORGE 120A AIRFLOW,4711377121576,CASING PC GAMING,MSI,YA,0
178,100866,CASING MSI MAG FORGE M100R MIAD TOWER - BLACK,,CASING PC GAMING,MSI,YA,0
179,100867,CASING MSI MAG FORGE M100R MIAD TOWER - WHITE,,CASING PC GAMING,MSI,YA,0
180,100102,CASING MSI MPG GUNGNIR 110R BLACK,4719072715601,CASING PC GAMING,MSI,YA,0
181,100103,CASING MSI MPG GUNGNIR 110R WHITE,4719072899301,CASING PC GAMING,MSI,YA,0
182,100158,CASING PC COOLERMASTER  QUBE 500 BLACK - Mid Tower,4719512142813,CASING PC GAMING,COOLER MASTER,YA,0
183,100157,CASING COOLER MASTER MASTERBOX Q500L SAKURA - ATX - PINK,4719512143742,CASING PC GAMING,COOLER MASTER,TIDAK,1
184,100156,CASING PC COOLERMASTER MasterBox Q500L,4719512101605,CASING PC GAMING,COOLER MASTER,TIDAK,2
185,100167,CASING PC DEEPCOOL CC560 V2 BLACK,6933412774617,CASING PC GAMING,DEEPCOOL,YA,0
186,100166,NEW CASING PC DEEPCOOL CH170 DIGITAL BLACK,6933412774228,CASING PC GAMING,DEEPCOOL,TIDAK,1
187,100037,CASING PC DIGITAL ALLIANCE N50S MATX BLACK,,CASING PC GAMING,DIGITAL ALLIANCE,YA,0
188,100101,CASING PC MSI MAG FORGE 101M,,CASING PC GAMING,MSI,YA,0
189,100099,CASING PC MSI MAG PANO M100R PZ BLACK,4711377136471,CASING PC GAMING,MSI,YA,0
190,100100,CASING PC MSI MAG PANO M100R PZ WHITE,4711377136488,CASING PC GAMING,MSI,YA,0
191,100028,CASING PC OFFICE ARMOUR AR-01MATX BLACK,,CASING PC GAMING,ARMOUR,YA,0
192,101477,CASING PRIME A-(F) COMPUTER CASE WITHOUT POWER SUPPLY,,CASING PC GAMING,PRIME,YA,0
193,101482,CASING PRIME H-(Y) V2 WHITE MODERN AESTHETIC DUAL CHAMBER ATX CASE-TEMPERED GLASS,,CASING PC GAMING,PRIME,YA,0
194,100669,CASING XYZ OFFICE RUSH - mATX - BLACK,,CASING PC GAMING,XYZ,TIDAK,1
195,101390,CASING ZALMAN P30 V2,8800263650125,CASING PC GAMING,ZALMAN,YA,0
196,101389,CASING ZALMAN P30 WHITE V2,,CASING PC GAMING,ZALMAN,YA,0
197,101262,CATRIDGE HP 680 BLACK,889296532194,TINTA CATRIDGE,HP,TIDAK,1
198,101263,CATRIDGE HP 680 TRI COLOUR,889296532187,TINTA CATRIDGE,HP,TIDAK,5
199,101516,CATRIDGE HP 682 BLACK,193905674282,TINTA CATRIDGE,HP,YA,0
200,101261,CATRIDGE HP 682 TRI COLOUR,193905674275,TINTA CATRIDGE,HP,TIDAK,18
201,100056,CCTV HIKVISION TURBO HD CAMERA 2 MP BULLET DS-2CE16DOT-EXLPF,,,,TIDAK,0
202,100057,CCTV HIKVISION TURBO HD CAMERA 2MP BULLET DS-2CE16DOT-LPFS,,,,TIDAK,0
203,100683,CHARGING DOCK ACGP03 BLACK,,DOCKING CHARGER,FANTECH,TIDAK,0
204,101538,CLEANER HANDBOSS 6 IN 1,,,,TIDAK,0
205,100058,CONNECTOR BNC RG59 F TYPE,,,,TIDAK,0
206,2503000334,CONTROLLER FAN 12CM RGB FOR HOSE WITH REMOTE,,,,TIDAK,0
